"","p","MSE.train","MSE.val","cp.train","cp.val"
"1",4,0.0110146883129967,0.0110602378227367,6.31493718407427,5.77949052419235
"2",5,0.00208659200113889,0.00210409425248608,0.428186385686417,0.332159825254746
"3",6,0.00195788165298971,0.00198959436793733,0.353186768773687,0.272400422099778
"4",6,0.00208672638314978,0.00210438030444622,0.438285151299801,0.342344138299845
"5",7,0.00194462321213345,0.00197558728705445,0.354439945110454,0.273875350898094
"6",8,0.00195387936404417,0.00197997773719746,0.370563387583236,0.28656063985022
"7",5,0.00574857533580924,0.00578186074888043,2.84682514748052,2.57317178105293
"8",6,0.00438037675115349,0.00442774900393749,1.95317781439175,1.75806670752543
"9",7,0.00420594184189096,0.00425437155092674,1.84797838885954,1.66243081928609
"10",7,0.00444736211571049,0.00446977426406156,2.00742980596857,1.79368440918087
"11",8,0.00444741175204798,0.00447182716618204,2.01747259940736,1.80494533552844
"12",9,0.00444763714337715,0.0044690731349063,2.02763147415964,1.81327720283374
"13",6,0.00577170665038587,0.00576772044195077,2.87211275133335,2.57456552982963
"14",7,0.00420823073342013,0.00424597677474881,1.84949013844113,1.65731554244635
"15",8,0.004206183645766,0.00425436951711111,1.85814810364465,1.67243959000994
"16",8,0.00446104131432963,0.00446952221191209,2.02647454852291,1.80354083361632
"17",9,0.0048058094962245,0.00470768623896234,2.26419441200752,1.95867382318034
"18",10,0.00444736951457326,0.00446987603943373,2.03746472274293,1.82377645506375
"19",3961,0.00151,0.00164,39.646962907668,39.6489680161398
