"","p","MSE.train","MSE.val","cp.train","cp.val"
"1",4,0.118469298067305,0.122559682897299,89.8670948074863,84.5381564842
"2",5,0.0665044254416289,0.0671191400311547,50.0371090637087,45.8726259115124
"3",6,0.0412830984898458,0.0416689494811386,30.7106421828382,28.1284829755271
"4",6,0.102865764135095,0.104035412922029,77.9243273868198,71.6355729697782
"5",7,0.0371408418836301,0.0374480872954988,27.5449013968923,25.1940029370031
"6",8,0.037173876722962,0.0375299711861314,27.5802382823898,25.261135470919
"7",5,0.110568209870022,0.111632939270914,83.8195643228333,76.9256271987469
"8",6,0.0199383758581047,0.020124190317788,14.3462480056422,13.0987743130699
"9",7,0.0164463456996136,0.0167473890334167,11.679017417209,10.7531144763988
"10",7,0.0284174087500887,0.0291567030055123,20.8568923354207,19.409900671476
"11",8,0.0254191364360485,0.0255633020423366,18.5682118988955,16.9131400476422
"12",9,0.0254066418640317,0.0255706627618924,18.5686426744931,16.9282849245417
"13",6,0.11204750522323,0.11396374873246,84.963708173889,78.5616190491261
"14",7,0.0181844584137961,0.0178806784490943,13.0115791969992,11.5437016265608
"15",8,0.0207357789741005,0.0211627452327784,14.9776144054402,13.8432943232695
"16",8,0.0254068736162081,0.0255761254154494,18.5588103423115,16.9220856831211
"17",9,0.0254120203955212,0.0255680539722864,18.5727662422201,16.9264650226601
"18",10,0.0254066721262552,0.025569470622502,18.5786758856925,16.9374632934279
"19",3961,0.0013,0.00143,39.646322822564,39.6472232694966
